     5.72002     71.0648   0.0515859
     5.75234     71.9144   0.0621913
     5.78466     72.7764   0.0406572
     5.81697     73.5747   0.0424108
     5.84929     74.3375   0.0619119
     5.88161     75.2249   0.0605869
     5.91392       76.01   0.0608408
     5.94624     76.8401   0.0533456
     5.97856     77.6563   0.0499062
     6.01087     78.4573   0.0595582
     6.04319     79.3191   0.0618216
     6.07551     80.2149   0.0517136
     6.10782     81.0642   0.0643152
     6.14014     81.9075   0.0508533
     6.17246     82.7587   0.0572826
     6.20477     83.6614   0.0593257
     6.23709     84.5236    0.059827
      6.2694     85.3928   0.0610092
     6.30172     86.3441   0.0616982
     6.33404     87.1808   0.0573801
     6.36635     88.0583   0.0580405
     6.39867     88.9307   0.0659713
     6.43099     89.8315   0.0592431
