           0           0           0
   0.0128248           0           0
   0.0256496           0           0
   0.0384745           0           0
   0.0512993           0           0
   0.0641241           0           0
   0.0769489           0           0
   0.0897737           0           0
    0.102599           0           0
    0.115423           0           0
    0.128248           0           0
    0.141073           0           0
    0.153898           0           0
    0.166723           0           0
    0.179547           0           0
    0.192372           0           0
    0.205197           0           0
    0.218022           0           0
    0.230847           0           0
    0.243672           0           0
    0.256496           0           0
    0.269321           0           0
    0.282146           0           0
    0.294971           0           0
    0.307796           0           0
     0.32062           0           0
    0.333445           0           0
     0.34627           0           0
    0.359095           0           0
     0.37192           0           0
    0.384745           0           0
    0.397569           0           0
    0.410394           0           0
    0.423219           0           0
    0.436044           0           0
    0.448869           0           0
    0.461694           0           0
    0.474518           0           0
    0.487343           0           0
    0.500168           0           0
    0.512993           0           0
    0.525818           0           0
    0.538642           0           0
    0.551467           0           0
    0.564292           0           0
    0.577117           0           0
    0.589942           0           0
    0.602767           0           0
    0.615591           0           0
    0.628416           0           0
    0.641241           0           0
    0.654066           0           0
    0.666891           0           0
    0.679715           0           0
     0.69254           0           0
    0.705365           0           0
     0.71819           0           0
    0.731015           0           0
     0.74384           0           0
    0.756664           0           0
    0.769489           0           0
    0.782314           0           0
    0.795139           0           0
    0.807964           0           0
    0.820788           0           0
    0.833613           0           0
    0.846438     0.00016 8.76356e-05
    0.859263     0.00024 9.05097e-05
    0.872088     0.00304 0.000351272
    0.884913    0.024432  0.00106323
    0.897737    0.120288  0.00208117
    0.910562    0.442976  0.00392963
    0.923387     1.23395  0.00680737
    0.936212      2.8085   0.0129631
    0.949037     5.42893   0.0166008
    0.961861     9.11298   0.0281766
    0.974686     13.7522   0.0279362
    0.987511     18.8908    0.042202
     1.00034     24.0898   0.0372136
     1.01316     29.1016    0.033429
     1.02599     33.3594   0.0300759
     1.03881     36.8514   0.0369907
     1.05164     39.3914   0.0337728
     1.06446     41.1755   0.0485658
     1.07728     42.0557   0.0398617
     1.09011     42.3593   0.0369124
     1.10293     42.0709   0.0291964
     1.11576     41.4689   0.0456228
     1.12858     40.4814   0.0421504
