           1    -5.45044    -5.45044           0
           2    -5.44891    -5.44968 0.000542282
           3    -5.45076    -5.45004 0.000466295
           4    -5.43123    -5.44534  0.00408681
           5    -5.45471    -5.44721  0.00367419
           6    -5.44459    -5.44677  0.00308778
           7    -5.44193    -5.44608  0.00272311
           8    -5.44174    -5.44554  0.00243622
           9    -5.46043    -5.44719  0.00266878
          10    -5.43521    -5.44599  0.00265752
          11     -5.4343    -5.44493  0.00262004
          12    -5.44402    -5.44485  0.00240281
          13    -5.45534    -5.44566  0.00234953
          14    -5.44964    -5.44595  0.00219884
          15    -5.44746    -5.44605  0.00205458
          16    -5.43979    -5.44566  0.00196306
          17    -5.46744    -5.44694   0.0022268
          18    -5.46256    -5.44781  0.00226596
          19    -5.44653    -5.44774  0.00214769
          20    -5.43175    -5.44694  0.00218399
          21    -5.45951    -5.44754  0.00216043
          22    -5.43415    -5.44693  0.00214618
          23    -5.46086    -5.44753  0.00213662
          24    -5.45391     -5.4478  0.00206406
          25    -5.46562    -5.44851  0.00210094
