           1     1.37259     1.37259           0
           2     1.37259     1.37259 2.89104e-06
           3     1.37268     1.37262   2.602e-05
           4     1.37251     1.37259 3.07421e-05
           5     1.37263      1.3726 2.52997e-05
           6     1.37246     1.37258 2.97517e-05
           7     1.37255     1.37257 2.58439e-05
           8     1.37251     1.37257  2.3685e-05
           9     1.37266     1.37258 2.31141e-05
          10     1.37258     1.37258 2.08183e-05
          11     1.37244     1.37256 2.21053e-05
          12     1.37247     1.37256 2.17425e-05
          13     1.37258     1.37256 2.01388e-05
          14     1.37264     1.37256  1.9541e-05
          15     1.37259     1.37257 1.83132e-05
          16     1.37247     1.37256 1.81482e-05
          17     1.37265     1.37256 1.77908e-05
          18     1.37261     1.37257 1.70032e-05
          19     1.37262     1.37257 1.63527e-05
          20     1.37266     1.37257 1.61864e-05
          21     1.37273     1.37258 1.69491e-05
          22      1.3727     1.37259 1.69891e-05
          23     1.37257     1.37259 1.62632e-05
          24      1.3726     1.37259 1.55983e-05
          25     1.37252     1.37258 1.52129e-05
