         0.5          20     85.6722     91.1991     1.43188
       0.515          20     79.9362      86.855     1.53803
        0.53          20     80.1784     83.4448     1.37149
       0.545          20     76.9522     77.4879     1.42041
        0.56          20     70.7949     71.2336     1.74654
       0.575          20     64.3942     65.2672      1.5862
        0.59          20     62.1326     60.9991     1.95439
       0.605          20     56.8843     55.7373     1.98805
        0.62          20     53.9001     52.0585     1.62946
       0.635          20     39.0093     45.1766     1.80943
        0.65          20      39.098     42.3332     1.68913
       0.665          20     40.0417     40.1777     1.56022
        0.68          20     36.9201     36.2669     1.26077
       0.695          20      34.908     32.7355    0.944819
        0.71          20     30.8055     29.7393     1.03857
       0.725          20     29.0455     27.4245    0.932525
        0.74          20     26.8401     25.5274    0.647954
       0.755          20     25.9866     23.7954    0.657326
        0.77          20     21.5043     21.7007    0.699481
       0.785          20     18.9842     20.3617    0.602829
         0.8          20     17.3058     19.5154    0.568578
       0.815          20     20.4821     17.8639    0.517538
        0.83          20     18.1037     16.1596    0.421822
       0.845          20     17.4658     15.2381    0.387377
        0.86          20     15.9918      14.215     0.34322
       0.875          20     15.8469      13.263    0.353527
        0.89          20      14.124      12.426    0.310037
       0.905          20      13.459     11.6597    0.264964
        0.92          20     12.0468     10.9868    0.221822
       0.935          20     11.2273     10.3285    0.184754
        0.95          20     10.5351     9.76862    0.206796
       0.965          20     9.52864     9.16768     0.17655
        0.98          20     8.92173     8.73329    0.120822
       0.995          20     8.02851     8.24354    0.136972
        1.01          20     7.86357     7.85143    0.120681
       1.025          20     7.74526     7.48651    0.129692
        1.04          20      7.1896     7.25296     0.13596
       1.055          20     7.29558     6.91382    0.120639
        1.07          20     6.83231     6.66335    0.114176
       1.085          20     6.33805     6.33095   0.0971241
         1.1          20     5.97412     6.04187    0.105529
       1.115          20     5.85422     5.74654   0.0875207
        1.13          20     5.46263      5.4997   0.0609799
       1.145          20     5.34237     5.26852   0.0635216
        1.16          20     5.04607     5.07505   0.0545222
       1.175          20     4.73958     4.87287   0.0549999
        1.19          20     4.64796     4.68621   0.0585981
       1.205          20     4.55222     4.51081    0.062376
        1.22          20     4.33495     4.38122   0.0601991
       1.235          20      4.1647     4.26117   0.0552801
        1.25          20     4.03843     4.14575   0.0556409
       1.265          20     4.00177     4.00394   0.0519715
        1.28          20     3.86844     3.87489    0.043068
       1.295          20     3.90092     3.75339   0.0469193
        1.31          20     3.89679     3.63823   0.0455469
       1.325          20     3.74026     3.54427   0.0439393
        1.34          20     3.60727     3.43172   0.0379374
       1.355          20     3.54886     3.33267   0.0373037
        1.37          20     3.38173     3.23559   0.0339834
       1.385          20     3.25546     3.13908   0.0387331
         1.4          20     3.14994     3.05944   0.0384087
       1.415          20     3.09328      2.9755   0.0411999
        1.43          20       2.973     2.90275   0.0412548
       1.445          20     2.88176     2.81211   0.0398449
        1.46          20      2.8461     2.74624   0.0377128
       1.475          20     2.76894     2.67808   0.0366301
        1.49          20     2.66033     2.61695   0.0353046
       1.505          20     2.62219     2.56193   0.0304599
        1.52          20     2.50248     2.50784   0.0289279
       1.535          20     2.40108      2.4373   0.0275489
        1.55          20     2.36236     2.38457    0.025167
       1.565          20     2.31835     2.34033   0.0214492
        1.58          20     2.31794     2.28762   0.0204107
       1.595          20     2.27052     2.23983   0.0206277
        1.61          20     2.23155     2.19057    0.022024
       1.625          20     2.17315     2.14294   0.0210046
        1.64          20     2.14431     2.10226   0.0206267
       1.655          20     2.11903      2.0587   0.0200022
        1.67          20     2.07011     2.02003   0.0229024
       1.685          20     2.04393     1.98275   0.0208613
         1.7          20     1.99924     1.94097   0.0204271
       1.715          20     1.94092     1.89966   0.0193842
        1.73          20     1.92778     1.86434   0.0192161
       1.745          20     1.88772     1.83146    0.018359
        1.76          20     1.83975     1.79178   0.0173687
       1.775          20     1.78763     1.75933   0.0166392
        1.79          20     1.76832     1.72411   0.0163822
       1.805          20     1.71016     1.69598   0.0154301
        1.82          20     1.67822     1.66625    0.015271
       1.835          20     1.66741     1.64079   0.0152076
        1.85          20     1.64809     1.61287   0.0148943
       1.865          20     1.62203     1.58183   0.0140066
        1.88          20     1.59686      1.5534   0.0151059
       1.895          20     1.58822     1.52663   0.0153665
        1.91          20      1.5641      1.5006   0.0155656
       1.925          20     1.53671     1.47606   0.0157266
        1.94          20     1.52023     1.45225   0.0154536
       1.955          20     1.47761      1.4303   0.0145898
        1.97          20     1.45485     1.40965   0.0141839
       1.985          20     1.43995     1.38866   0.0138066
           2          20     1.41046     1.36816   0.0135303
